case_id,root_cause,osi_layer,confidence,evidence,next_command,fix_steps,concept_tag,human_review_required
C001,"Port Fa0/4 is assigned to VLAN 20 instead of VLAN 10, separating PC-B from PC-A at Layer 2.",Layer 2,high,show interfaces Fa0/4 switchport: Access Mode VLAN: 20 (Engineering),show vlan brief,Enter interface Fa0/4 on SW1; run switchport access vlan 10; verify with show interfaces Fa0/4 switchport,vlan_port_assignment,True
C002,Fa0/8 is left in orphan VLAN 999 from its previous use as a printer port.,Layer 2,high,show interfaces Fa0/8 switchport: Access Mode VLAN: 999 (VLAN0999),show vlan brief,Reassign Fa0/8 to the correct data VLAN with switchport access vlan <id>; confirm VLAN 999 is not needed elsewhere before removing it,vlan_port_assignment,True
C003,VLAN 30 is pruned from the allowed-VLAN list on the SW3-SW1 trunk (Gi0/1).,Layer 2,high,"show interfaces trunk: Vlans allowed on trunk = 1-29,31-4094 (30 excluded)",show interfaces trunk (on SW1 side to confirm symmetry),"On SW3 Gi0/1, run switchport trunk allowed vlan add 30; verify VLAN 30 appears in the active list on both switches",trunk_allowed_vlans,True
C004,The Gi0/2/Gi0/1 trunk is not forwarding VLAN 40 traffic because the allowed-VLAN list on one side excludes it.,Layer 2,medium,"show interfaces trunk output shown does not list an allowed-VLAN range, only native VLAN values",show interfaces trunk (allowed VLANs),Check switchport trunk allowed vlan list on both ends; add VLAN 40 if pruned,trunk_allowed_vlans,True
C005,"DHCP pool VLAN10 hands out default-gateway 192.168.10.254, which does not match the router's real interface IP.",Layer 3,high,PC ipconfig shows Default Gateway: 192.168.10.254; R1 show ip interface brief shows GigabitEthernet0/0.10 = 192.168.10.1,show run | section dhcp pool VLAN10,Edit the DHCP pool: default-router 192.168.10.1; release/renew affected clients,gateway_mismatch,True
C006,"PC-D's subnet mask (/24) does not match the router interface's actual /25 network, causing incorrect local/remote traffic classification.",Layer 3,medium,PC ipconfig shows Subnet Mask: 255.255.255.0 while topology note specifies a /25 network,show ip interface brief with subnet mask detail on R2,"Correct PC-D's subnet mask to match the router's configured /25; if static, reconfigure IP settings; if DHCP, fix the pool's network statement",wrong_subnet_mask,True
C007,"VLAN 20 sub-interface Gi0/0.20 is administratively down, likely because 'no shutdown' was never saved before the reload.",Layer 3,high,show ip interface brief: GigabitEthernet0/0.20 ... administratively down / down,show run interface Gi0/0.20,Enter interface Gi0/0.20; run no shutdown; run copy running-config startup-config to persist,interface_shutdown,True
C008,"The gateway interface for VLAN 30 appears to be flapping under load, causing intermittent ARP table churn.",Layer 3,medium,show arp shows repeated entries for 192.168.30.50,show interfaces Gi0/0.30,Check interface error counters for flapping; reseat cabling if errors are climbing,interface_instability,True
C009,DHCP pool VLAN10 has an exclude-address range or misconfigured network statement that leaves zero usable addresses.,Layer 3,high,"show ip dhcp pool VLAN10: Total addresses: 0, Leased addresses: 0",show run | include ip dhcp excluded-address,Review and narrow the ip dhcp excluded-address range so it doesn't cover the whole /24; verify with show ip dhcp pool VLAN10,dhcp_pool_exhausted,True
C010,"The ip helper-address on the VLAN 20 sub-interface points to 192.168.10.5, a VLAN 10 host, forwarding DHCP requests to the wrong scope.",Layer 3,high,show run interface Gi0/0.20: ip helper-address 192.168.10.5,show run | section dhcp pool VLAN20,"Correct the ip helper-address to point at the server hosting pool VLAN20 (or the correct scope), then verify DHCP pool VLAN20 exists and matches 192.168.20.0/24",dhcp_relay_misconfig,True
C011,"DHCP pool VLAN10 is missing a dns-server statement, so clients get no DNS server even though IP/gateway work.",Layer 7,high,PC ipconfig /all: DNS Servers: 0.0.0.0; DHCP pool VLAN10 config shows network and default-router but no dns-server line,show run | section dhcp pool VLAN10,Add dns-server <IP> to the DHCP pool VLAN10 configuration; release/renew the affected client,dhcp_missing_dns_option,True
C012,DHCP demand is simply exceeding the pool as VLAN 30 grows; recommend increasing lease time or adding a second pool.,Layer 3,low,No explicit pool exhaustion counters were provided in the evidence,show ip dhcp pool VLAN30,Monitor DHCP pool utilization; consider adding a secondary scope if growth continues,dhcp_capacity_planning,True
C013,"The DNS A record for intranet.local does not exist in the zone, or contains a typo.",Layer 7,high,nslookup intranet.local returns: can't find intranet.local: Non-existent domain,show/inspect DNS zone records for intranet.local on the DNS server,Add or correct the A record for intranet.local pointing to 10.10.10.5; verify with nslookup,missing_dns_record,True
C014,"The DNS server host at 192.168.10.5 is unreachable at the network layer, so no queries can be answered.",Layer 3,high,ping 192.168.10.5 times out (4/4 dropped) while ping to the gateway 192.168.10.1 succeeds,show ip arp | include 192.168.10.5,Confirm the DNS server VM is powered on and correctly placed in VLAN 10; check for an ACL blocking 192.168.10.5; verify with ping once corrected,dns_server_unreachable,True
C015,"The primary DNS server (192.168.10.99) does not exist on the network, forcing every lookup to time out before falling back to the working secondary.",Layer 7,high,"ipconfig /all shows DNS Servers: 192.168.10.99 (primary, non-existent host) and 203.0.113.5 (working secondary)",ping 192.168.10.99,Remove or correct the invalid primary DNS server entry; standardize DHCP/static DNS settings to only include reachable servers,dns_server_misconfig,True
C016,The A record for www.company.com still points to the old test server IP (192.168.10.50) after migration.,Layer 7,high,nslookup www.company.com resolves to 192.168.10.50,Inspect DNS zone record for www.company.com,Update the A record for www.company.com to the new production server IP; clear client DNS cache; verify with nslookup,stale_dns_record,True
