case_id,category,severity,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag
C001,VLAN,High,"PC-A (VLAN 10, 192.168.10.10/24) cannot ping PC-B (VLAN 10, 192.168.10.20/24) on the same switch.","Both PCs connect to SW1 (Fa0/2 and Fa0/4). No router involved for this test; same subnet, same VLAN expected.","SW1# show vlan brief
VLAN Name                             Status    Ports
10   Sales                            active    Fa0/2
20   Engineering                      active    Fa0/4, Fa0/6
SW1# show interfaces Fa0/4 switchport
Name: Fa0/4
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 20 (Engineering)","PC-B's port (Fa0/4) is assigned to VLAN 20 instead of VLAN 10, so the two PCs are on different broadcast domains despite matching IP subnet.",Layer 2,vlan_port_assignment
C002,VLAN,Medium,New PC plugged into SW2 Fa0/8 gets no VLAN connectivity at all; interface shows connected but device is isolated.,SW2 trunks to SW1 over Gi0/1. Fa0/8 was recently repurposed from a printer port.,"SW2# show interfaces Fa0/8 switchport
Name: Fa0/8
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 999 (VLAN0999)
SW2# show vlan brief | include 999
999  VLAN0999                         active","Fa0/8 is still assigned to VLAN 999, an unused/orphan VLAN left from the printer configuration, instead of the correct data VLAN.",Layer 2,vlan_port_assignment
C003,VLAN,High,"Devices in VLAN 30 on SW3 cannot reach devices in VLAN 30 on SW1, though both switches show VLAN 30 active locally.",SW3-SW1 link is a trunk (Gi0/1). VLAN 30 was added to SW3 yesterday for a new department.,"SW3# show interfaces trunk
Port      Vlans allowed on trunk
Gi0/1     1-29,31-4094
Port      Vlans allowed and active in management domain
Gi0/1     1,20,31
","VLAN 30 is explicitly excluded from the allowed-VLAN list on the Gi0/1 trunk (pruned), so VLAN 30 traffic never crosses the trunk to SW1.",Layer 2,trunk_allowed_vlans
C004,VLAN,Low,"Trunk between SW1 and SW2 is up, but VLAN 40 traffic is not forwarding while VLAN 10 and 20 work fine over the same trunk.",SW1 uses 802.1Q trunking; SW2 was recently reconfigured for a new native VLAN.,"SW1# show interfaces Gi0/2 trunk
Port      Mode    Encapsulation  Status       Native vlan
Gi0/2     on      802.1q         trunking     1
SW2# show interfaces Gi0/1 trunk
Port      Mode    Encapsulation  Status       Native vlan
Gi0/1     on      802.1q         trunking     40
","Native VLAN mismatch: SW1 uses native VLAN 1 while SW2 uses native VLAN 40 on the same trunk, causing a VLAN mismatch/CDP warning and untagged VLAN 40 frames to be misclassified.",Layer 2,native_vlan_mismatch
C005,Gateway,High,"PC-C has a valid IP via DHCP but cannot reach anything outside its own subnet, including the gateway.","PC-C is in VLAN 10, subnet 192.168.10.0/24, gateway expected at 192.168.10.1 on R1 sub-interface.","PC> ipconfig
IP Address: 192.168.10.15
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.254
R1# show ip interface brief
Interface              IP-Address      Status
GigabitEthernet0/0.10  192.168.10.1    up",DHCP pool is handing out the wrong default-gateway (192.168.10.254) which does not exist on the network; the router's actual sub-interface address is 192.168.10.1.,Layer 3,gateway_mismatch
C006,Gateway,Medium,PC-D can ping its own gateway but not any host outside the subnet; gateway itself can reach the internet fine.,PC-D statically configured. Subnet is 172.16.5.0/25.,"PC> ipconfig
IP Address: 172.16.5.50
Subnet Mask: 255.255.255.0
Default Gateway: 172.16.5.1
R2# show ip interface brief
GigabitEthernet0/1     172.16.5.1      up","PC-D's subnet mask (/24) does not match the router interface's actual /25 network, so PC-D miscalculates which addresses are local vs. remote and mishandles off-subnet traffic despite the gateway IP being correct.",Layer 3,wrong_subnet_mask
C007,Gateway,High,All PCs in VLAN 20 lost gateway connectivity simultaneously after a router reload.,Router-on-a-stick setup; VLAN 20 sub-interface should be up/up.,"R1# show ip interface brief
Interface              IP-Address      Status                  Protocol
GigabitEthernet0/0.20  192.168.20.1    administratively down   down","The VLAN 20 sub-interface was left administratively shut down (likely not saved with 'no shutdown' before reload), so it is down and cannot route for that VLAN.",Layer 3,interface_shutdown
C008,Gateway,Medium,Two PCs on the same VLAN intermittently lose connectivity to the gateway and to each other; ARP table shows flapping entries.,Static IPs were assigned manually by two different technicians.,"R1# show arp
Internet  Address        Age(min)  Hardware Addr     Type   Interface
Internet  192.168.30.50  0         00E0.1234.AAAA     ARPA   Gi0/0.30
Internet  192.168.30.50  0         00E0.5678.BBBB     ARPA   Gi0/0.30",Duplicate IP address 192.168.30.50 assigned to two different MAC addresses causes ARP flapping and intermittent loss of connectivity for both hosts.,Layer 3,duplicate_ip
C009,DHCP,High,New PC on VLAN 10 shows an Automatic Private IP Address (169.254.x.x) and no network access.,R1 configured as DHCP server for VLAN 10 pool; other PCs on VLAN 10 got addresses fine yesterday.,"R1# show ip dhcp pool VLAN10
Pool VLAN10 :
 Utilization mark (high/low)    : 100 / 0
 Total addresses                : 0
 Leased addresses               : 0
R1# show run | section dhcp pool VLAN10
ip dhcp pool VLAN10
 network 192.168.10.0 255.255.255.0","DHCP pool VLAN10 has zero usable addresses because the excluded-address range covers the entire pool (or the pool was never given a real range), so the client fails to lease an address and self-assigns APIPA.",Layer 3,dhcp_pool_exhausted
C010,DHCP,Medium,PC in VLAN 20 receives an IP address from the wrong subnet (192.168.10.x instead of 192.168.20.x).,VLAN 20 clients should get addresses from pool VLAN20 via the ip helper-address on the VLAN 20 sub-interface.,"R1# show run interface Gi0/0.20
interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 192.168.20.1 255.255.255.0
 ip helper-address 192.168.10.5","The ip helper-address on the VLAN 20 sub-interface points to the wrong DHCP server/pool scope (192.168.10.5, a VLAN 10 host), forwarding VLAN 20 DHCP requests into the VLAN 10 pool.",Layer 3,dhcp_relay_misconfig
C011,DHCP,Medium,PC gets a valid IP and gateway but has no internet access; can ping gateway and other local hosts fine.,DHCP pool serves VLAN 10; DNS resolution and internet both fail from this PC only.,"PC> ipconfig /all
IP Address: 192.168.10.25
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.1
DNS Servers: 0.0.0.0
R1# show run | section dhcp pool VLAN10
ip dhcp pool VLAN10
 network 192.168.10.0 255.255.255.0
 default-router 192.168.10.1","The DHCP pool VLAN10 has no 'dns-server' statement configured, so clients receive no DNS server address and cannot resolve names even though IP connectivity works.",Layer 7,dhcp_missing_dns_option
C012,DHCP,Low,Every device on VLAN 30 gets an address from the same small range and IP conflicts increase as more devices join.,VLAN 30 subnet is 192.168.30.0/24 with room for 254 hosts.,"R1# show run | section dhcp pool VLAN30
ip dhcp pool VLAN30
 network 192.168.30.0 255.255.255.240
 default-router 192.168.30.1","The DHCP pool's network statement uses mask 255.255.255.240 (/28, only 14 usable hosts) instead of matching the actual /24 subnet, artificially shrinking the address pool and causing exhaustion/conflicts.",Layer 3,dhcp_pool_mask_mismatch
